name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T00:00:00,23.8,23.8,16.3,63.03,,,,,,,5.4,106,1010.5,2.2,10.0,,,0,,Clear,clear-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T01:00:00,24.0,24.0,16.0,61.19,,,,,,,9.4,112,1010.4,7.7,10.0,,,0,,Clear,clear-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T02:00:00,23.2,23.2,19.0,77.23,,,,,,,7.2,120,1010.2,10.3,10.0,,,0,,Clear,clear-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T03:00:00,22.7,22.7,19.5,82.38,,,,,,,7.4,104,1009.7,8.4,10.0,,,0,,Clear,clear-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T04:00:00,22.4,22.4,19.5,83.58,,,,,,,10.3,102,1009.4,8.1,10.0,,,0,,Clear,clear-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T05:00:00,22.2,22.2,19.2,83.34,,,,,,,10.0,103,1009.7,8.1,10.0,,,0,,Clear,clear-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T06:00:00,22.2,22.2,19.1,82.75,,,,,,,10.4,102,1009.6,23.5,10.0,19.0,0.1,0,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T07:00:00,23.1,23.1,19.2,78.67,,,,,,,11.6,87,1010.3,23.6,10.0,98.0,0.4,1,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T08:00:00,24.4,24.4,19.1,72.17,,,,,,,12.2,90,1011.2,36.0,10.0,149.0,0.5,1,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T09:00:00,25.2,25.2,19.3,70.02,,,,,,,13.4,76,1011.6,33.2,10.0,424.0,1.5,4,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T10:00:00,26.1,26.1,19.5,67.19,,,,,,,12.7,63,1011.5,36.0,10.0,736.0,2.6,7,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T11:00:00,27.1,28.4,19.4,62.49,,,,,,,10.7,79,1011.5,61.9,10.0,526.0,1.9,5,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T12:00:00,27.7,29.1,19.6,61.67,,,,,,29.5,10.5,63,1011.2,70.5,10.0,965.0,3.5,10,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T13:00:00,27.8,29.3,19.7,61.33,,,,,,,14.0,72,1010.6,63.1,10.0,1072.0,3.9,10,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T14:00:00,28.4,30.0,19.8,59.79,,,,,,,13.2,55,1010.2,71.7,10.0,959.0,3.5,10,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T15:00:00,29.5,31.2,19.6,55.38,,,,,,,13.5,37,1009.5,70.2,10.0,661.0,2.4,7,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T16:00:00,29.3,30.7,19.2,54.71,,,,,,,13.4,44,1009.1,58.2,10.0,821.0,3.0,8,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T17:00:00,29.1,30.4,19.1,54.96,,,,,,,18.3,72,1008.5,54.6,10.0,484.0,1.7,5,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T18:00:00,28.7,30.0,19.0,55.65,,,,,,,19.0,75,1008.4,23.4,10.0,278.0,1.0,3,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T19:00:00,27.3,28.5,19.0,60.65,,,,,,,19.1,69,1008.5,27.3,10.0,204.0,0.7,2,,Partially cloudy,partly-cloudy-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T20:00:00,25.8,25.8,19.4,67.73,,,,,,,19.6,82,1008.7,7.8,10.0,7.0,0.0,0,,Clear,clear-day,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T21:00:00,25.1,25.1,19.3,70.38,,,,,,,15.9,78,1009.3,3.2,10.0,1.0,0.0,0,,Clear,clear-night,"87585099999,87582099999,F6563,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T22:00:00,25.2,25.2,18.8,67.93,,,,,,,13.2,66,1009.6,3.2,10.0,,,0,,Clear,clear-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-27T23:00:00,25.1,25.1,18.1,65.12,,,,,,,15.3,64,1009.9,1.4,10.0,,,0,,Clear,clear-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-28T00:00:00,24.6,24.6,16.9,62.43,,,,,,,13.5,57,1010.3,12.6,10.0,,,0,,Clear,clear-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
"M̩xico 1180, 1629 Pilar, Argentina",2021-12-28T01:00:00,24.0,24.0,15.9,60.4,,,,,,,11.9,38,1010.3,35.0,10.0,,,0,,Partially cloudy,partly-cloudy-night,"87585099999,87582099999,87553099999,SADF,SABE,87576099999"
